chord_set_id,position,chord_value
1,0,th
1,1,er
1,2,re
1,3,en
1,4,nd
1,5,ti
1,6,es
1,7,te
1,8,ed
1,9,al
1,10,ar
1,11,st
1,12,nt
1,13,ng
1,14,se
1,15,ha
1,16,ou
1,17,io
1,18,le
1,19,ve
1,20,co
1,21,de
1,22,hi
1,23,ri
1,24,ro
1,25,ic
1,26,ne
1,27,ea
1,28,ra
1,29,ce
1,30,li
1,31,ch
1,32,ll
1,33,ma
1,34,si
1,35,om
1,36,ur
1,37,ca
1,38,el
1,39,ta
1,40,la
1,41,ns
1,42,di
1,43,fo
1,44,ho
1,45,pe
1,46,ec
1,47,pr
1,48,ct
1,49,ac
1,50,ot
1,51,il
1,52,tr
1,53,ly
1,54,nc
1,55,et
1,56,ut
1,57,ss
1,58,rs
1,59,un
1,60,lo
1,61,wa
1,62,ge
1,63,ie
1,64,wh
1,65,ee
1,66,wi
1,67,em
1,68,ad
1,69,ol
1,70,rt
1,71,po
2,0,th
2,1,er
2,2,re
2,3,en
2,4,nd
2,5,ti
2,6,es
2,7,te
2,8,ed
2,9,al
2,10,ar
2,11,st
2,12,nt
2,13,ng
2,14,se
2,15,ha
2,16,ou
2,17,io
2,18,le
2,19,ve
2,20,co
2,21,de
2,22,hi
2,23,ing
2,24,ri
2,25,ro
2,26,ion
2,27,ic
2,28,ne
2,29,ea
2,30,ra
2,31,ce
2,32,li
2,33,ch
2,34,tio
2,35,ll
2,36,ma
2,37,ent
2,38,si
2,39,om
2,40,ur
2,41,ca
2,42,el
2,43,ta
2,44,la
2,45,ns
2,46,di
2,47,fo
2,48,ho
2,49,pe
2,50,ec
2,51,pr
2,52,ct
2,53,ac
2,54,ot
2,55,il
2,56,tr
2,57,ly
2,58,ati
2,59,nc
2,60,et
2,61,ut
2,62,ss
2,63,rs
2,64,un
2,65,her
2,66,lo
2,67,wa
2,68,ge
2,69,ie
2,70,wh
2,71,ee
3,0,ing
3,1,ion
3,2,tio
3,3,ent
3,4,ati
3,5,her
3,6,ter
3,7,hat
3,8,tha
3,9,ere
3,10,ate
3,11,con
3,12,res
3,13,ver
3,14,ons
3,15,nce
3,16,men
3,17,ith
3,18,ted
3,19,ers
3,20,pro
3,21,thi
3,22,wit
3,23,ess
3,24,ive
